"File Name";"Internal Name";"Description";"Game Name";"Game Description";"Type";"Rom Name";"Disk Name";"Size";"CRC";"MD5";"SHA1";"SHA256";"Nodump"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Cancer Emblem 1 - Dazzle-Lunge Emblem";"";"rom";"353 - Cancer Emblem 1 - Dazzle-Lunge Emblem";"";"16816800";"1ea8b476";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Cancer Emblem 2 - Min-Max Emblem";"";"rom";"352 - Cancer Emblem 2 - Min-Max Emblem";"";"17344212";"937079aa";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Carcino’s Civil War";"";"rom";"119 - Carcino’s Civil War";"";"17378852";"88a038ec";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Christmas Crossover Carol";"";"rom";"121 - Christmas Crossover Carol";"";"16831344";"676c6d7f";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Chronicles of Lussaria";"";"rom";"250 - Chronicles of Lussaria";"";"17605868";"bee51b0b";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Communist Emblem 2 - Venezuela";"";"rom";"355 - Communist Emblem 2 - Venezuela";"";"17175216";"9948f176";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Cornwell’s Ascension";"";"rom";"138 - Cornwell’s Ascension";"";"17109180";"6ad635db";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Corrupt Theocracy";"";"rom";"107 - Corrupt Theocracy";"";"16873266";"928dbeb0";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Crossover Hack";"";"rom";"265 - Crossover Hack";"";"33480004";"bc384a67";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Dark Emblem";"";"rom";"263 - Dark Emblem";"";"23383092";"74277073";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Dark Lord and the Maiden of Light";"";"rom";"120 - Dark Lord and the Maiden of Light";"";"24393296";"2edd404d";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Decay of the Fangs";"";"rom";"253 - Decay of the Fangs";"";"20200548";"85f73677";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Degeneration Emblem";"";"rom";"337 - Degeneration Emblem";"";"16777216";"dbc4ac1a";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Deity Device (Bonus)";"";"rom";"229 - Deity Device (Bonus)";"";"17580332";"7928a9df";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Deity Device (Part 1)";"";"rom";"226 - Deity Device (Part 1)";"";"28848264";"e9a09a50";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Deity Device (Part 2)";"";"rom";"227 - Deity Device (Part 2)";"";"28957288";"4908dcba";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Deity Device (Part 3)";"";"rom";"228 - Deity Device (Part 3)";"";"28950336";"5e69347e";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Devourer of Time (Hard mode)";"";"rom";"339 - Devourer of Time (Hard mode)";"";"16818192";"7fd35f4f";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Devourer of Time (Normal mode)";"";"rom";"338 - Devourer of Time (Normal mode)";"";"16818224";"200f63aa";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Different Dimensions Ostian Princess";"";"rom";"333 - Different Dimensions Ostian Princess";"";"16777216";"79f1b543";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Dorcas Emblem 2";"";"rom";"334 - Dorcas Emblem 2";"";"19343004";"7f7d07d2";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Dream of Five";"";"rom";"251 - Dream of Five";"";"22194508";"1cfe67cd";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Elibean Nights";"";"rom";"243 - Elibean Nights";"";"28260392";"0f2076bd";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Escape the Mangs Dungeon";"";"rom";"161 - Escape the Mangs Dungeon";"";"17083184";"090dffb3";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Extinguished Blade";"";"rom";"288 - Extinguished Blade";"";"16777216";"5a32401b";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"Fallen King";"";"rom";"114 - Fallen King";"";"17826344";"8b2cbe45";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE1 GBA";"";"rom";"260 - FE1 GBA";"";"17361761";"9be58bd8";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 All Mounts";"";"rom";"297 - FE6 All Mounts";"";"16777532";"cc905927";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Google Translated";"";"rom";"299 - FE6 Google Translated";"";"16777532";"1e494685";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Incandescence Edition";"";"rom";"320 - FE6 Incandescence Edition";"";"16777532";"564d7782";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Negative Growths";"";"rom";"330 - FE6 Negative Growths";"";"10655928";"08186206";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Negative Growths (English)";"";"rom";"331 - FE6 Negative Growths (English)";"";"16777216";"ac14b603";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Numbers Patch";"";"rom";"294 - FE6 Numbers Patch";"";"8588060";"400da207";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Promoted Mode";"";"rom";"291 - FE6 Promoted Mode";"";"16777532";"41252a77";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Recoloured";"";"rom";"302 - FE6 Recoloured";"";"16777532";"6c2527d9";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Refurbished";"";"rom";"321 - FE6 Refurbished";"";"16777532";"eb687c4e";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 rom with HM bonuses for everyone";"";"rom";"326 - FE6 rom with HM bonuses for everyone";"";"16793100";"8c9d00cc";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Unfair and Bad";"";"rom";"298 - FE6 Unfair and Bad";"";"16777532";"7a081ae9";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Unit Swap (Balanced)";"";"rom";"300 - FE6 Unit Swap (Balanced)";"";"16777532";"dcef0b86";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Unit Swap (Hard)";"";"rom";"301 - FE6 Unit Swap (Hard)";"";"16777532";"793e533c";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Weapon Reversal";"";"rom";"292 - FE6 Weapon Reversal";"";"16793100";"bb59e273";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 Weapon Reversal (Without Weapon Changes)";"";"rom";"293 - FE6 Weapon Reversal (Without Weapon Changes)";"";"16793100";"1fb89d62";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 with no HM bonuses";"";"rom";"328 - FE6 with no HM bonuses";"";"16793100";"44db6192";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6 with some double HM bonuses";"";"rom";"327 - FE6 with some double HM bonuses";"";"16793100";"64329423";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6-CharSwap-FE7 (0% Growths)";"";"rom";"305 - FE6-CharSwap-FE7 (0% Growths)";"";"18309172";"cc8c2df2";"";"";"";"None"
"laqieer - Fire Emblem - Game Boy Advance.xml";"laqieer - Fire Emblem - Game Boy Advance";"Fire Emblem ROM hacks";"FE6-CharSwap-FE7 (1% Growths)";"";"rom";"306 - FE6-CharSwap-FE7 (1% Growths)";"";"18309172";"02c72c3e";"";"";"";"None"
