"File Name"	"Internal Name"	"Description"	"Game Name"	"Game Description"	"Type"	"Rom Name"	"Disk Name"	"Size"	"CRC"	"MD5"	"SHA1"	"SHA256"	"Nodump"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Barry’s Bandits"	""	"rom"	"156 - Barry’s Bandits"	""	"18715144"	"2ce87ea5"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Bartre Emblem"	""	"rom"	"343 - Bartre Emblem"	""	"16898080"	"e0fbf1e0"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Bases and Bandits"	""	"rom"	"225 - Bases and Bandits"	""	"18763176"	"dd587477"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Battle Against Vallui"	""	"rom"	"224 - Battle Against Vallui"	""	"18375244"	"d72b1607"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Battle for Galdea"	""	"rom"	"673 - Battle for Galdea"	""	"17342564"	"6c665432"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Battle Simulator (Ally Control)"	""	"rom"	"195 - Battle Simulator (Ally Control)"	""	"16802684"	"3926efa0"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Battle Simulator (Full Control)"	""	"rom"	"196 - Battle Simulator (Full Control)"	""	"16802684"	"c8ea0c56"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Battle Simulator (No Control)"	""	"rom"	"197 - Battle Simulator (No Control)"	""	"16802684"	"bcfccaf8"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Behold the Mega-Flare"	""	"rom"	"479 - Behold the Mega-Flare"	""	"25211820"	"6346dfb5"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Binks Emblem"	""	"rom"	"280 - Binks Emblem"	""	"16777216"	"4cc97f98"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Bird Up!"	""	"rom"	"562 - Bird Up!"	""	"33511616"	"f1efdf9e"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Black Fang"	""	"rom"	"578 - Black Fang"	""	"26121676"	"af92f7af"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Blackwing Struggle"	""	"rom"	"429 - Blackwing Struggle"	""	"17622632"	"ee781f1e"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Blades of the Blood Dunes"	""	"rom"	"657 - Blades of the Blood Dunes"	""	"18265128"	"4468049f"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Blades of the Blood Dunes (April Fools’)"	""	"rom"	"658 - Blades of the Blood Dunes (April Fools’)"	""	"18276532"	"026be121"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Blazer’s One Day Hack"	""	"rom"	"127 - Blazer’s One Day Hack"	""	"20983928"	"c68db4ee"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Blight of Acrova"	""	"rom"	"574 - Blight of Acrova"	""	"26476404"	"80219c4c"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Blight of Acrova (Reverse Recruitment)"	""	"rom"	"576 - Blight of Acrova (Reverse Recruitment)"	""	"27003148"	"0883395d"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Blight of Acrova (Zero Percent Growths)"	""	"rom"	"575 - Blight of Acrova (Zero Percent Growths)"	""	"26476404"	"b9915ad8"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Blood of the Covenant"	""	"rom"	"290 - Blood of the Covenant"	""	"20149244"	"63a45a53"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Bloodlines"	""	"rom"	"410 - Bloodlines"	""	"26362620"	"1e076cea"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"BobbyYukitsuki's Two Hour Blitz"	""	"rom"	"609 - BobbyYukitsuki's Two Hour Blitz"	""	"16959508"	"93712a28"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Boss Rush"	""	"rom"	"504 - Boss Rush"	""	"25165880"	"ad45b232"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Boss War"	""	"rom"	"115 - Boss War"	""	"25171160"	"186ecc6e"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"BoxWhatBox"	""	"rom"	"672 - BoxWhatBox"	""	"17267760"	"3026f352"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Broken Emblem"	""	"rom"	"296 - Broken Emblem"	""	"8393140"	"320cb889"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"BS Fire Emblem - Archanea Saga"	""	"rom"	"158 - BS Fire Emblem - Archanea Saga"	""	"16933169"	"39abb64a"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Bullet Hell Madness"	""	"rom"	"511 - Bullet Hell Madness"	""	"21870580"	"70dc4d72"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Call of the Armor"	""	"rom"	"230 - Call of the Armor"	""	"20330124"	"688794f7"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Cancer Emblem 0 - Joke Hack"	""	"rom"	"354 - Cancer Emblem 0 - Joke Hack"	""	"16814840"	"1d729c3e"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Cancer Emblem 1 - Dazzle-Lunge Emblem"	""	"rom"	"353 - Cancer Emblem 1 - Dazzle-Lunge Emblem"	""	"16816800"	"1ea8b476"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Cancer Emblem 2 - Min-Max Emblem"	""	"rom"	"352 - Cancer Emblem 2 - Min-Max Emblem"	""	"17344212"	"937079aa"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Carcino’s Civil War"	""	"rom"	"119 - Carcino’s Civil War"	""	"17378852"	"88a038ec"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Cerulean Coast"	""	"rom"	"492 - Cerulean Coast"	""	"28145516"	"81bfb293"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Christmas Crossover Carol"	""	"rom"	"121 - Christmas Crossover Carol"	""	"16831344"	"676c6d7f"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Chronicles of Lussaria"	""	"rom"	"250 - Chronicles of Lussaria"	""	"17605868"	"bee51b0b"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Clendo's 1h Blitz - Faltharian Heist"	""	"rom"	"645 - Clendo's 1h Blitz - Faltharian Heist"	""	"16889240"	"5ec26df2"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Code of the Burger King"	""	"rom"	"600 - Code of the Burger King"	""	"28138512"	"e74b3929"	""	""	""	"None"
"laqieer - Fire Emblem - Game Boy Advance.xml"	"laqieer - Fire Emblem - Game Boy Advance"	"Fire Emblem ROM hacks"	"Colm's Big Heist"	""	"rom"	"536 - Colm's Big Heist"	""	"16777216"	"34f20e9d"	""	""	""	"None"
