"File Name","Internal Name","Description","Game Name","Game Description","Type","Rom Name","Disk Name","Size","CRC","MD5","SHA1","SHA256","Nodump"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem (Europe) (En,Fr,De)","","rom","4 - Fire Emblem (Europe) (En,Fr,De).gba","","16777216","4a805ed1","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem (Europe) (En,Fr,De) (Wii U Virtual Console)","","rom","15 - Fire Emblem (Europe) (En,Fr,De) (Wii U Virtual Console).gba","","16777216","335c5855","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem (USA) (Wii U Virtual Console)","","rom","13 - Fire Emblem (USA) (Wii U Virtual Console).gba","","16777216","1b8713c7","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem (USA, Australia)","","rom","3 - Fire Emblem (USA, Australia).gba","","16777216","2a524221","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Barhara Revisited","","rom","123 - Fire Emblem - Barhara Revisited.gba","","17529368","15482be6","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Code of the Black Knights","","rom","150 - Fire Emblem - Code of the Black Knights.gba","","33016900","c666f8b1","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Death or Glory","","rom","124 - Fire Emblem - Death or Glory.gba","","19915268","cf613764","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Different Dimensions Ostian Princess 2.0","","rom","122 - Fire Emblem - Different Dimensions Ostian Princess 2.0.gba","","17357684","624f1b70","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Feud of the Fangs","","rom","139 - Fire Emblem - Feud of the Fangs.gba","","16805464","7b2765bc","","","","None"
"laqieer - Fire Emblem - Game Boy Advance.xml","laqieer - Fire Emblem - Game Boy Advance","Fire Emblem ROM hacks","Fire Emblem - Fuuin no Tsurugi (China)[iQue][CHS]","","rom","16 - Fire Emblem - Fuuin no Tsurugi (China)[iQue][CHS].gba","","16777216","8cebef1e","","","","None"
